County_Name,State,Population_1_year_and_over,Confirmed,Deaths,geo_id,median_year_structure_built,Percent_income_spent_on_rent,Percent_Male,median_income,Percent_graduate_or_more,aggregate_time_travel_work,genie_index
Essex County,VT,6156,111,0,50009,1973,28,0.5054,38767,0.066734331,65350,0.4288
Chittenden County,VT,159435,3636,78,50007,1978,32.7,0.4903,66906,0.248220224,1763730,0.4536
Kent County,DE,171020,11548,187,10001,1991,31.4,0.4825,57647,0.104907109,1975260,0.43
Washington County,RI,125220,5521,122,44009,1974,30.3,0.4846,77862,0.234482661,1551355,0.446
Belknap County,NH,59873,2496,79,33001,1977,28.9,0.4919,65834,0.166385557,756695,0.4281
Newport County,RI,82556,3578,6,44005,1963,28.8,0.4922,75463,0.256604034,911115,0.4688
Lamoille County,VT,24952,312,1,50015,1981,29.1,0.4964,54899,0.186281694,309910,0.4693
Tolland County,CT,150684,6255,125,9013,1973,30.5,0.5024,81312,0.185350985,1926600,0.4276
Addison County,VT,36491,527,5,50001,1976,28,0.4946,61875,0.17535854,416400,0.4168
Caledonia County,VT,30330,307,4,50005,1972,30.4,0.5026,47371,0.129599655,339665,0.4238
Nantucket County,MA,10805,990,2,25019,1985,28.9,0.5319,91942,0.29412834,,0.4674
Plymouth County,MA,503679,32246,1104,25023,1968,31.1,0.4867,82081,0.167404494,8068960,0.4468
Barnstable County,MA,212305,7499,303,25001,1975,32.6,0.4776,68048,0.264507022,2223625,0.4585
Cheshire County,NH,75534,1987,9,33005,1969,29.8,0.4888,60148,0.159397789,834445,0.4457
Berkshire County,MA,126680,4081,187,25003,1953,30.3,0.4833,55190,0.187903324,1183185,0.464
Franklin County,MA,70296,1615,95,25011,1960,31.5,0.4887,57307,0.230582406,816510,0.4514
Grafton County,NH,88662,1614,10,33009,1978,28.8,0.4923,61036,0.240366972,924210,0.4769
Carroll County,NH,47261,1268,4,33003,1981,30,0.4994,58139,0.183123436,555800,0.4614
Litchfield County,CT,183016,9191,244,9005,1966,29,0.4944,76438,0.199333815,2484330,0.4412
Grand Isle County,VT,6875,78,0,50013,1978,30.3,0.4938,66111,0.221482098,111715,0.4487
Dukes County,MA,17171,676,0,25007,1982,31.4,0.4794,67535,0.282851875,115810,0.5096
Orleans County,VT,26686,326,5,50019,1975,30.3,0.5022,45664,0.102732794,267325,0.4381
Bennington County,VT,35792,784,3,50003,1970,29.3,0.4906,52251,0.164341761,303035,0.4535
Merrimack County,NH,146622,6092,92,33013,1977,28.9,0.4925,69856,0.186938713,1875910,0.4216
Windham County,VT,43025,709,9,50025,1973,32.4,0.4886,50831,0.194976218,398085,0.4464
Strafford County,NH,125302,4917,47,33017,1975,28.8,0.4894,67805,0.158425673,1682560,0.423
Sullivan County,NH,42774,855,8,33019,1972,28.8,0.4937,59419,0.125010594,485315,0.4215
Bristol County,RI,48708,3251,78,44001,1959,29.8,0.4819,74630,0.26947807,595635,0.4848
Middlesex County,CT,162328,8497,298,9007,1970,30.4,0.4889,81673,0.230589558,2138145,0.4442
Washington County,VT,58236,1042,11,50023,1971,28.9,0.4941,60602,0.220809932,661955,0.4271
Windsor County,VT,54924,743,4,50027,1973,30.4,0.4897,56828,0.207423862,588600,0.4669
Rockingham County,NH,299751,14289,164,33015,1980,28.3,0.4952,85619,0.219275876,4721855,0.4214
Windham County,CT,115888,7402,109,9015,1968,31,0.4963,62553,0.116464357,1430270,0.4143
New London County,CT,268304,15086,325,9011,1967,29.5,0.5007,69411,0.185127951,3080400,0.4425
Orange County,VT,28650,392,1,50017,1975,30.4,0.4968,56584,0.156464634,369950,0.4051
Coos County,NH,31889,983,21,33007,1967,28.2,0.5269,45386,0.078666376,281820,0.4294
Rutland County,VT,59192,673,9,50021,1969,30.7,0.4906,52635,0.139038673,588680,0.4286
Hampden County,MA,464391,33547,1138,25013,1957,32.6,0.4825,52205,0.123790452,4612245,0.4682
Essex County,MA,767920,71834,1862,25009,1956,31.5,0.4819,73533,0.196281465,10959275,0.4775
Bristol County,MA,551693,45439,1242,25005,1960,29,0.4842,62514,0.129335265,7365095,0.4562
Kent County,RI,162324,11802,227,44003,1964,29.5,0.4837,69047,0.163603155,2090865,0.4421
Franklin County,VT,48341,673,33,50011,1975,27.1,0.4968,62214,0.101886515,603575,0.4246
Sussex County,DE,213390,18844,320,10005,1993,28.9,0.4849,57901,0.145533735,2213505,0.4457
Middlesex County,MA,1565071,93861,2969,25017,1958,28.4,0.4884,92878,0.337642346,24214380,0.4704
Hartford County,CT,888211,58705,2017,9003,1963,30.1,0.4855,69936,0.195244976,9657285,0.47
New Castle County,DE,549015,40753,514,10003,1973,29.5,0.4843,68336,0.184249216,6504490,0.4635
Hawaii County,HI,193994,2088,45,15001,1987,32.4,0.4975,56395,0.124003828,1917540,0.4712
Worcester County,MA,809960,54092,1729,25027,1962,29.5,0.4932,69313,0.16998993,11035405,0.4547
Kauai County,HI,70378,175,1,15007,1984,29.3,0.4971,72330,0.129064386,738675,0.4277
Hampshire County,MA,160136,5081,220,25015,1966,32.7,0.4683,64974,0.221412894,1756195,0.4597
Maui County,HI,162403,1618,20,15009,1984,29.6,0.4993,72762,0.119885378,1642335,0.4454
Hillsborough County,NH,401696,23111,503,33011,1976,28.8,0.4965,75777,0.179366704,5641825,0.4252
Honolulu County,HI,977026,20018,255,15003,1975,34.3,0.504,80078,0.161839504,13861265,0.4299
Suffolk County,MA,771702,66066,1490,25025,1939,31.1,0.4836,61242,0.228898287,12352270,0.5344
Fairfield County,CT,937566,67617,1853,9001,1964,32.6,0.487,89773,0.256279396,13298975,0.5443
Norfolk County,MA,686947,35740,1400,25021,1961,29.5,0.4799,95668,0.308510723,11577575,0.4771
Providence County,RI,626891,67526,1476,44007,1954,30.1,0.4853,52530,0.127601194,7026120,0.4823
New Haven County,CT,854178,58627,1706,9009,1961,32.5,0.4824,64872,0.184564439,9977835,0.467
Washington,DC,662540,34259,861,11001,1952,29.2,0.4745,77649,0.390870787,10047485,0.5314
Kalawao County,HI,85,0,0,15005,1945,12.7,0.4767,61750,0.175,,0.3801
Bristol Bay Borough,AK,905,0,0,2060,1984,18.7,0.5802,79500,0.070063694,,0.3817
Yukon-Koyukuk Census Area,AK,5382,254,4,2290,1982,24.6,0.5384,37819,0.050464037,15525,0.4684
Skagway Municipality,AK,1027,15,0,2230,1976,20.8,0.5723,70673,0.155717762,,0.3271
Hoonah-Angoon Census Area,AK,2117,50,1,2105,1985,22.8,0.5233,57900,0.100802855,,0.3871
Northwest Arctic Borough,AK,7555,510,0,2188,1981,19.4,0.5402,61533,0.032307025,,0.4341
Haines Borough,AK,2531,15,0,2100,1985,18.8,0.5215,70640,0.195686901,,0.415
City and Borough of Juneau,AK,32178,975,3,2110,1980,25,0.5138,90749,0.207009285,262480,0.3815
Aleutians West Census Area,AK,5738,110,0,2016,1980,16.9,0.6119,85192,0.058267121,,0.3688
Nome Census Area,AK,9672,293,0,2180,1982,27,0.532,53821,0.038376634,23445,0.4372
Aleutians East Borough,AK,3323,29,0,2013,1982,19.9,0.6138,66607,0.058258258,,0.4025
Wrangell City and Borough,AK,2443,18,0,2275,1977,27.3,0.5172,56094,0.088277858,,0.3945
Denali Borough,AK,2287,58,0,2068,1988,13.7,0.5072,83295,0.214559387,22760,0.3568
Fairbanks North Star Borough,AK,98368,5504,24,2090,1984,30.2,0.5395,76250,0.160079343,956505,0.3977
Sitka City and Borough,AK,8727,270,0,2220,1980,27.6,0.5131,70765,0.176230389,46605,0.3944
Matanuska-Susitna Borough,AK,99815,7117,18,2170,1992,29.8,0.5217,74887,0.085112075,1346395,0.4098
Yakutat City and Borough,AK,676,0,0,2282,1985,25.6,0.5367,64583,0.036931818,,0.3518
Kusilvak Census Area,AK,7943,1017,3,2158,1985,17,0.5341,36468,0.013599106,,0.4268
Prince of Wales-Hyder Census Area,AK,6382,67,1,2198,1987,24.4,0.5421,52114,0.074647498,39460,0.4232
Southeast Fairbanks Census Area,AK,6772,382,3,2240,1984,25,0.5535,63866,0.116611661,,0.3918
Petersburg Census Area,AK,3231,38,0,2195,1976,25.2,0.5264,63490,0.097304405,,0.4524
Bethel Census Area,AK,17635,3014,12,2050,1985,22,0.5254,53853,0.040571733,,0.4338
Ketchikan Gateway Borough,AK,13552,242,1,2130,1976,31.6,0.514,67321,0.107577043,88405,0.4157
Valdez-Cordova Census Area,AK,9376,346,2,2261,1980,19.4,0.5192,86019,0.139249147,,0.3946
Dillingham Census Area,AK,4899,130,1,2070,1985,24.1,0.5197,58708,0.076812635,15765,0.4284
Kodiak Island Borough,AK,13551,955,2,2150,1980,29.8,0.5351,74167,0.116417025,71555,0.3983
North Slope Borough,AK,9577,927,3,2185,1984,17.5,0.6249,77266,0.057154197,,0.4132
Kenai Peninsula Borough,AK,57391,3615,15,2122,1987,25.7,0.5221,65279,0.119902929,455385,0.4273
Municipality of Anchorage,AK,294072,24191,127,2020,1981,28.6,0.5107,82271,0.165556048,2864145,0.4192
Lake and Peninsula Borough,AK,1286,98,0,2164,,15.5,0.5081,45208,0.074349442,,0.4388
Bibb County,AL,22224,2170,47,1007,1985,29.8,0.5426,43404,0.062864701,236790,0.4518
Lamar County,AL,13892,1184,19,1075,1977,28.9,0.4903,36016,0.054305953,148170,0.4733
Henry County,AL,16964,1550,21,1067,1983,26,0.4797,45569,0.106106214,171195,0.4529
Marengo County,AL,19541,2008,29,1091,1979,29.9,0.4678,32255,0.063116692,161900,0.5303
Lowndes County,AL,10268,1115,35,1085,1988,35.5,0.4725,29785,0.048449612,101715,0.5059
Coosa County,AL,10883,605,15,1037,1981,21.3,0.4997,34792,0.048844081,106945,0.4372
Greene County,AL,8454,762,23,1063,1979,35,0.4756,20954,0.033586338,68415,0.5148
Conecuh County,AL,12506,951,20,1035,1983,29.1,0.4775,30434,0.041261813,113340,0.4552
Clay County,AL,13300,1270,45,1027,1978,23.1,0.4827,37287,0.059475219,158500,0.4574
Choctaw County,AL,13084,515,24,1023,1982,34.5,0.476,32122,0.044502946,136110,0.486
Pickens County,AL,19939,1969,31,1107,1979,29.6,0.476,36220,0.04005204,191815,0.484
Lawrence County,AL,32951,2452,47,1079,1981,25,0.4856,43779,0.037863818,336050,0.4317
Perry County,AL,9609,982,18,1105,1974,37.1,0.4783,22973,0.073556511,63660,0.4962
Hale County,AL,14782,1774,42,1065,1980,40,0.4701,34679,0.049874221,150860,0.4968
Randolph County,AL,22246,1415,35,1111,1983,27.1,0.4881,39485,0.069896873,212560,0.4516
Macon County,AL,19213,1168,35,1087,1977,32.2,0.4615,32308,0.091407384,158810,0.5056
Blount County,AL,57088,5320,83,1009,1987,26.8,0.494,47412,0.062932301,728175,0.4302
Marion County,AL,29861,2473,50,1093,1980,28.7,0.495,35719,0.067335508,263445,0.4734
Monroe County,AL,21446,1473,17,1099,1983,30.6,0.4762,26036,0.058891544,146920,0.5568
Barbour County,AL,25925,1738,36,1005,1980,29,0.5334,33368,0.056589363,200275,0.4622
Tallapoosa County,AL,40283,2630,107,1123,1982,31.7,0.4813,42181,0.079341865,370695,0.4536
DeKalb County,AL,70217,7715,97,1049,1982,24.3,0.4962,38842,0.067406278,639200,0.4648
Butler County,AL,20001,1707,58,1013,1979,27.6,0.4679,36326,0.079011275,173210,0.4495
Russell County,AL,57579,3359,10,1113,1983,29.4,0.486,38988,0.076353526,556540,0.4591
Dale County,AL,48783,3997,81,1045,1984,29.8,0.4965,44711,0.071128924,410670,0.4561
Shelby County,AL,206264,18693,114,1117,1994,26.6,0.4859,74063,0.20100851,2732920,0.4275
Etowah County,AL,102197,11805,168,1055,1973,28.4,0.4823,42064,0.086183738,927520,0.4441
Walker County,AL,64231,5930,174,1127,1981,32.2,0.4884,38872,0.056853139,687950,0.4566
Autauga County,AL,54293,5227,55,1001,1991,32.6,0.4888,55317,0.127620181,611325,0.4501
Chambers County,AL,33654,2886,69,1017,1975,26.9,0.4815,37342,0.054996251,329230,0.4592
Bullock County,AL,10436,997,28,1011,1983,34.1,0.536,29655,0.085680353,123845,0.482
Cleburne County,AL,14822,1184,23,1029,1983,24.3,0.4931,37396,0.0595,176540,0.4569
Franklin County,AL,31207,3681,48,1059,1978,26.4,0.502,39501,0.059583592,346930,0.4305
Covington County,AL,37172,3301,68,1039,1981,25.6,0.4833,39467,0.069595944,359460,0.4486
Crenshaw County,AL,13740,1202,44,1041,1978,25,0.4894,38937,0.053745511,154040,0.4664
Houston County,AL,102842,8681,148,1069,1982,28.8,0.4794,42803,0.09842449,905160,0.4797
Morgan County,AL,117722,12321,113,1103,1981,27.8,0.4931,47529,0.089458373,1180630,0.4566
Chilton County,AL,43229,3378,65,1021,1988,31.4,0.492,43501,0.064173786,554695,0.4693
St. Clair County,AL,86065,7599,120,1115,1994,26.8,0.5,53483,0.07221402,1094550,0.4102
Tuscaloosa County,AL,201914,20835,267,1125,1989,30.9,0.4829,50513,0.130132406,1944640,0.4607
Mobile County,AL,409170,30551,554,1097,1978,32.3,0.4778,45802,0.094963768,4067240,0.4729
Cherokee County,AL,25614,1609,30,1019,1986,32.7,0.4975,40041,0.074898512,252870,0.4534
Winston County,AL,23790,2290,35,1133,1984,26.6,0.4944,35362,0.067980754,230125,0.4525
Fayette County,AL,16457,1712,26,1057,1980,31,0.4917,36541,0.056370738,168900,0.4669
Geneva County,AL,26203,2033,35,1061,1980,24.5,0.4895,39293,0.046944074,269120,0.445
Sumter County,AL,13005,895,26,1119,1981,37.2,0.4611,21663,0.069276446,108730,0.5187
Cullman County,AL,81028,8094,105,1043,1984,29,0.4923,40997,0.072296015,819420,0.4482
Montgomery County,AL,224599,19192,305,1101,1978,31.4,0.4732,46545,0.155339101,1960115,0.4831
Lauderdale County,AL,91751,7631,83,1077,1977,26.8,0.4781,44888,0.104664391,928360,0.46
Coffee County,AL,50606,4462,56,1031,1984,27.6,0.4939,49821,0.107059916,466725,0.4486
Escambia County,AL,37156,3213,42,1053,1985,31.8,0.5137,35026,0.054340381,267190,0.4844
Marshall County,AL,93722,10236,107,1095,1980,28.5,0.4937,41104,0.078912928,881045,0.4816
Clarke County,AL,24447,2831,33,1025,1982,30.6,0.4731,33827,0.051968185,185110,0.5194
Jackson County,AL,51726,5837,41,1071,1978,28.6,0.4914,39281,0.06139496,501585,0.4537
Colbert County,AL,53992,5354,73,1033,1975,31.8,0.4803,45477,0.097993989,493810,0.4383
Baldwin County,AL,201089,16513,183,1003,1994,29.6,0.4894,52562,0.148746895,2239155,0.4618
Elmore County,AL,80090,7923,101,1051,1992,28.8,0.486,54981,0.106184577,892880,0.4374
Pike County,AL,32783,2513,29,1109,1986,34.3,0.4776,35684,0.094399609,272560,0.5169
Limestone County,AL,90659,8074,74,1083,1991,28.4,0.5005,52831,0.10606029,967385,0.4582
Washington County,AL,16665,1383,26,1129,1983,24,0.4981,42185,0.044851485,193740,0.4635
Dallas County,AL,40116,3051,96,1047,1974,34.3,0.4615,30065,0.063299506,307420,0.4974
Talladega County,AL,80192,6224,108,1121,1980,28.4,0.4839,39219,0.067120732,727605,0.4543
Lee County,AL,154934,12603,101,1081,1993,34.3,0.4928,47564,0.156063807,1515950,0.5008
Calhoun County,AL,114132,11206,200,1015,1977,29,0.4812,43686,0.09502391,1113310,0.4629
Madison County,AL,349262,27303,186,1089,1987,28.5,0.4886,61318,0.203115628,3446795,0.4668
Jefferson County,AL,650865,62752,920,1073,1973,30.9,0.4736,49321,0.158798393,6831400,0.501
Wilcox County,AL,10801,1036,21,1131,1984,26.7,0.4667,27012,0.042609462,70360,0.5175
Lincoln County,AR,13754,2963,30,5079,1982,28.3,0.6225,38873,0.028489689,76735,0.4404
Bradley County,AR,10888,1166,25,5011,1977,29.2,0.4786,36310,0.052224371,84795,0.4812
Randolph County,AR,17282,1737,44,5121,1979,31.1,0.4947,35930,0.058155886,178065,0.4698
Clay County,AR,15077,1486,39,5021,1972,30.6,0.4885,32219,0.047291093,140810,0.4468
Ashley County,AR,20622,1502,24,5003,1976,34.2,0.4875,36407,0.045678315,156480,0.4658
Arkansas County,AR,18152,1578,35,5001,1974,28.4,0.4787,38532,0.054400315,110185,0.4877
Fulton County,AR,11984,1002,38,5049,1981,31.9,0.4918,36051,0.055902425,92575,0.4285
Grant County,AR,17923,1281,26,5053,1986,25.4,0.4884,49968,0.076915588,215420,0.4633
Jackson County,AR,17283,3009,29,5067,1974,28.9,0.492,32783,0.03989899,102870,0.5104
Cleveland County,AR,8294,690,23,5025,1984,23.1,0.5028,44840,0.065567334,95890,0.4299
Perry County,AR,10162,619,6,5105,1991,23.4,0.4957,46168,0.041731873,117510,0.4047
Lee County,AR,9442,1563,30,5077,1974,31.8,0.5674,27901,0.033333333,56335,0.5057
Phillips County,AR,19303,1492,30,5107,1972,31,0.4719,26652,0.049129075,118300,0.4972
Stone County,AR,12438,873,27,5137,1989,30.4,0.5016,33091,0.077947337,90490,0.4797
Calhoun County,AR,5157,298,2,5013,1976,44.5,0.5185,37225,0.050406504,51590,0.4405
Cross County,AR,16977,1715,41,5037,1977,26.8,0.4849,41081,0.066777311,165700,0.4725
Conway County,AR,20769,1794,21,5029,1979,32.1,0.4922,39638,0.064263828,207900,0.4629
Poinsett County,AR,23697,2762,70,5111,1976,26.8,0.49,37487,0.031065615,214095,0.4022
Lawrence County,AR,16620,1816,40,5075,1976,25.8,0.4938,37603,0.057648986,161450,0.4266
Ouachita County,AR,24104,1762,41,5103,1973,29.4,0.4737,32136,0.070984241,200900,0.4782
Desha County,AR,11901,1094,15,5041,1976,29.6,0.4587,27036,0.037186322,83415,0.4871
Hempstead County,AR,21692,1468,11,5057,1978,32.2,0.4685,38701,0.053651388,167320,0.4379
Van Buren County,AR,16623,990,10,5141,1985,34,0.4988,34428,0.064248601,149770,0.4465
Izard County,AR,13379,1485,29,5065,1981,27,0.5156,39135,0.060806067,88705,0.4082
Howard County,AR,13366,1248,20,5061,1979,28.1,0.4886,34851,0.04818602,106570,0.5268
Lafayette County,AR,7011,396,7,5073,1975,32.1,0.4907,32500,0.037754845,60190,0.5823
Drew County,AR,18427,1726,26,5043,1984,33.7,0.4882,36092,0.067318035,161255,0.4886
Newton County,AR,7884,611,26,5101,1981,25.7,0.5038,38134,0.069871795,86795,0.412
Sevier County,AR,16938,2268,23,5133,1982,24.3,0.5005,43675,0.047729022,176055,0.4036
Sharp County,AR,16922,1383,39,5135,1979,32.4,0.4892,31792,0.052474953,138545,0.4928
Woodruff County,AR,6696,499,5,5147,1975,31.4,0.4721,30097,0.028816987,44375,0.4976
Dallas County,AR,7532,616,12,5039,1976,24.5,0.4798,35794,0.04012278,77265,0.3893
Baxter County,AR,40713,2476,86,5005,1986,27.4,0.4832,40072,0.089345146,245265,0.445
Prairie County,AR,8222,679,17,5117,1979,23.9,0.4973,41244,0.049194415,85235,0.4182
Little River County,AR,12429,958,39,5081,1978,29,0.4928,36963,0.03632807,110105,0.4746
Washington County,AR,220328,25900,254,5143,1992,27.5,0.5,47452,0.147575237,2191755,0.4909
Independence County,AR,36731,3283,107,5063,1983,29.5,0.4867,39945,0.081830722,276660,0.4691
Yell County,AR,21302,2863,56,5149,1984,23.4,0.4964,39696,0.045906902,168435,0.44
Saline County,AR,114948,9520,131,5125,1994,24.7,0.4927,58985,0.121246883,1399575,0.3959
Union County,AR,39578,3006,85,5139,1975,29.7,0.486,41106,0.07026247,288845,0.4794
Lonoke County,AR,70552,5330,97,5085,1994,26.9,0.4921,57290,0.07216908,875900,0.3938
Garland County,AR,97065,7574,187,5051,1982,33.2,0.4824,41672,0.103085117,813860,0.4887
Pope County,AR,62688,6664,74,5115,1986,29.3,0.4951,40668,0.085933979,478995,0.465
Faulkner County,AR,119967,9724,121,5045,1995,29.8,0.4897,50316,0.121776119,1311585,0.4552
Hot Spring County,AR,33049,4121,61,5059,1981,29.5,0.5165,40626,0.062470838,334625,0.4474
Logan County,AR,21525,1798,13,5083,1978,23.8,0.4937,37982,0.040131941,198455,0.4443
Crittenden County,AR,48434,5091,79,5035,1981,32.3,0.4729,38558,0.06537261,383515,0.4501
Sebastian County,AR,125415,12431,190,5131,1977,27.9,0.4882,40932,0.074315553,1011385,0.4865
Scott County,AR,10428,788,14,5127,1981,33.6,0.4998,37396,0.059758318,72445,0.4408
Monroe County,AR,7298,619,13,5095,1976,29.8,0.4629,31584,0.02367531,58765,0.4757
Chicot County,AR,10868,1506,35,5017,1977,31.6,0.4906,32412,0.043140767,78310,0.5589
Madison County,AR,15723,1228,16,5087,1984,26.6,0.5032,42894,0.050759219,198600,0.4626
Pike County,AR,10761,841,15,5109,1981,26.2,0.4971,36893,0.090375992,118785,0.4251
Franklin County,AR,17552,1357,29,5047,1981,29.8,0.4872,39472,0.031237445,165415,0.4274
Montgomery County,AR,8998,621,22,5097,1981,24,0.4953,35252,0.066847713,92340,0.4362
Polk County,AR,20011,1552,51,5113,1982,26.8,0.4883,33870,0.057790269,159890,0.4395
Searcy County,AR,7880,576,14,5129,1979,34.4,0.5085,36716,0.074041428,83435,0.4626
Nevada County,AR,8422,652,22,5099,1975,32.1,0.5211,36995,0.062005022,93470,0.4077
Greene County,AR,43555,5140,60,5055,1984,27.3,0.4934,45566,0.060052931,365170,0.4147
St. Francis County,AR,26392,3177,28,5123,1980,31.3,0.5495,33102,0.04893576,159195,0.4649
Columbia County,AR,23665,1803,47,5027,1977,27.9,0.4792,37072,0.0798474,163850,0.4725
Crawford County,AR,61392,5639,76,5033,1987,28,0.4924,43504,0.054077577,560320,0.4335
White County,AR,77599,5970,77,5145,1990,28.2,0.4911,44074,0.095232927,747545,0.4668
Clark County,AR,22305,1658,30,5019,1981,29.3,0.4755,37144,0.097999701,208500,0.451
Boone County,AR,36582,3018,72,5009,1979,27.1,0.489,40727,0.077019021,288465,0.4367
Cleburne County,AR,25145,1623,45,5023,1988,28.9,0.4926,42312,0.08808406,244825,0.4688
Craighead County,AR,102939,11612,154,5031,1990,28.8,0.4871,45672,0.109862714,847655,0.4824
Marion County,AR,16179,796,27,5089,1982,28.8,0.4916,36113,0.082620441,110650,0.4189
Miller County,AR,43127,3147,27,5091,1982,31.4,0.4932,41862,0.062264391,322580,0.4507
Mississippi County,AR,42670,4913,101,5093,1975,28.4,0.4831,36417,0.046544991,293670,0.4755
Johnson County,AR,25804,2297,26,5071,1984,29.3,0.4962,35758,0.064620037,197950,0.4478
Jefferson County,AR,70794,7535,140,5069,1976,29.4,0.4925,37630,0.067280354,539280,0.4664
Carroll County,AR,27516,2419,35,5015,1985,25.7,0.4907,39686,0.101383751,207865,0.4371
Pulaski County,AR,387625,30714,457,5119,1979,29.4,0.4793,48850,0.169819463,3560625,0.4986
Benton County,AR,248135,23248,312,5007,1994,23,0.4949,61271,0.135543266,2270965,0.4505
Apache County,AZ,70644,8705,278,4001,1986,18,0.4938,32360,0.042423171,451560,0.4883
Santa Cruz County,AZ,45715,7104,132,4023,1987,30.6,0.4795,39630,0.080612898,385395,0.487
La Paz County,AZ,20271,2049,46,4012,1985,26.5,0.5142,36479,0.056864415,75090,0.4323
Gila County,AZ,52744,5448,167,4007,1983,27.1,0.4946,41179,0.108423111,311280,0.4442
Yuma County,AZ,201161,33447,633,4027,1992,28.2,0.5136,43253,0.06482016,1452400,0.4443
Graham County,AZ,37236,4417,58,4009,1984,25.8,0.5367,48173,0.06018921,240735,0.4149
Coconino County,AZ,137229,14196,246,4005,1988,32.4,0.4924,53523,0.149743787,1121650,0.4803
Greenlee County,AZ,9203,487,4,4011,1976,10,0.5334,56298,0.031770045,63880,0.4008
Mohave County,AZ,203060,16899,439,4015,1992,28.6,0.5041,41567,0.063089546,1348735,0.4451
Yavapai County,AZ,219458,14989,325,4025,1992,30.3,0.4892,48259,0.159785848,1758825,0.4447
Cochise County,AZ,124989,9691,191,4003,1984,28.6,0.5066,47847,0.127073542,907325,0.4449
Navajo County,AZ,106275,13548,392,4017,1987,27.8,0.5008,38798,0.070699446,657830,0.4773
Pinal County,AZ,400836,37135,490,4021,2002,29.3,0.5219,52628,0.091552181,4170965,0.4287
Pima County,AZ,995337,91740,1422,4019,1984,31.6,0.4921,48676,0.171012433,10015230,0.4725
Maricopa County,AZ,4104987,425844,6443,4013,1989,29.3,0.4946,58580,0.153302106,45946615,0.4679
Sierra County,CA,2852,40,0,6091,1969,31.7,0.5158,44190,0.120318725,,0.4824
Alpine County,CA,1201,71,0,6003,1982,23.1,0.552,63438,0.117567568,,0.4981
Modoc County,CA,8951,281,3,6049,1974,29.1,0.5167,39296,0.070162107,39925,0.4354
Mariposa County,CA,17485,320,4,6043,1982,31.3,0.5019,51385,0.154658531,190695,0.4492
Stanislaus County,CA,527887,42413,749,6099,1980,33.2,0.4944,54260,0.066027253,5724585,0.4493
Nevada County,CA,97940,3199,73,6057,1983,34.1,0.493,60610,0.223733174,899830,0.4639
Del Norte County,CA,27033,840,2,6015,1978,29.3,0.5469,41287,0.07839672,111490,0.481
Yolo County,CA,210378,10620,131,6113,1980,33.4,0.4874,61621,0.204251792,2065665,0.4905
Butte County,CA,223187,9474,121,6007,1978,36.7,0.4955,46516,0.114919426,1713740,0.4868
Shasta County,CA,177099,9600,117,6089,1980,34.5,0.4905,47258,0.107994143,1321860,0.4634
Kings County,CA,148385,19267,143,6031,1982,30.1,0.5525,49742,0.047572084,1183550,0.4391
Tehama County,CA,62435,3854,42,6103,1980,34.5,0.4973,42512,0.059842662,520895,0.4513
Mendocino County,CA,86639,2919,32,6045,1976,35.3,0.4991,46528,0.121067304,650710,0.4942
Humboldt County,CA,133896,2343,24,6023,1970,36,0.4983,43718,0.134371446,965100,0.4682
Yuba County,CA,73487,4671,27,6115,1980,33,0.5102,51776,0.057450377,830120,0.4269
Napa County,CA,139802,7601,39,6055,1974,31.7,0.4986,79637,0.186479393,1581250,0.4734
Mono County,CA,13969,1101,4,6051,1979,24.1,0.5287,60595,0.148073394,113870,0.3525
Siskiyou County,CA,43104,1144,13,6093,1975,34.2,0.4986,40884,0.117297376,276440,0.4506
San Benito County,CA,57807,4963,43,6069,1984,29.9,0.4978,80760,0.077390628,875345,0.4007
Kern County,CA,866521,79930,565,6029,1982,32.4,0.5125,50826,0.061936858,7469095,0.462
Calaveras County,CA,44764,1617,23,6009,1985,33.8,0.4948,54800,0.113638611,531740,0.4608
Fresno County,CA,957870,82485,932,6019,1979,34.4,0.4988,48730,0.08149411,8136685,0.4801
Santa Cruz County,CA,270260,12298,113,6087,1972,36.8,0.4964,73663,0.213945774,3233175,0.4784
El Dorado County,CA,183162,7707,44,6017,1981,31,0.4989,74885,0.187087437,2093995,0.4588
Plumas County,CA,18637,506,5,6063,1980,34,0.5037,50266,0.163231198,146075,0.4686
Colusa County,CA,21229,1608,9,6011,1973,28.3,0.5194,56481,0.060612183,218215,0.4601
San Luis Obispo County,CA,277755,15742,135,6079,1981,32.6,0.5076,67175,0.176682995,2607670,0.4518
Tuolumne County,CA,53666,3318,39,6109,1979,32.1,0.52,54325,0.118499574,497615,0.4755
Tulare County,CA,451981,41196,501,6107,1980,33.4,0.5002,44871,0.051231082,3688005,0.4682
Trinity County,CA,12968,260,4,6105,1977,37.7,0.5065,36563,0.066775244,68210,0.4665
Amador County,CA,36983,3016,29,6005,1981,35.4,0.5362,60636,0.122521164,384575,0.4392
Imperial County,CA,176886,25317,463,6025,1987,32.3,0.511,44779,0.055677842,1169360,0.4719
Madera County,CA,152174,13443,130,6039,1985,34.4,0.4829,48210,0.058037322,1245070,0.4503
Lake County,CA,63510,2591,30,6033,1979,37.4,0.496,40446,0.079404467,551260,0.4691
Glenn County,CA,27571,1935,19,6021,1972,29.6,0.5088,46260,0.039102712,233465,0.4637
Marin County,CA,258452,11607,154,6041,1966,31.4,0.4886,104703,0.387879328,3600120,0.5234
